sub	sess	t	cond	trig	event	onset
1	1	1	3	3	t_start	3538.78832032
1	1	1	3	11	all_drs_on	3541.02976779
1	1	1	3	5	d_clsd	3541.03977692
1	1	1	3	4	d_open	3541.63011645
1	1	1	3	5	d_clsd	3542.48066834
1	1	1	3	4	d_open	3542.83086961
1	1	1	3	5	d_clsd	3543.68144143
1	1	1	3	4	d_open	3544.03163244
1	1	1	3	5	d_clsd	3544.89216026
1	1	1	3	4	d_open	3545.24237784
1	1	1	3	5	d_clsd	3546.53317093
1	1	1	3	4	d_open	3547.14355830
1	1	1	3	5	d_clsd	3548.01412756
1	1	1	3	4	d_open	3548.36435328
1	1	1	3	20	pre_tgt	3548.44455070
1	1	1	3	21	tgt_on	3549.20497121
1	1	2	3	3	t_start	3551.86664916
1	1	2	3	11	all_drs_on	3553.87786517
1	1	2	3	5	d_clsd	3553.88786977
1	1	2	3	4	d_open	3554.43817640
1	1	2	3	5	d_clsd	3555.28873795
1	1	2	3	4	d_open	3555.63897183
1	1	2	3	5	d_clsd	3556.47946991
1	1	2	3	4	d_open	3556.82968779
1	1	2	3	5	d_clsd	3557.70024527
1	1	2	3	4	d_open	3558.05046103
1	1	2	3	5	d_clsd	3558.92102515
1	1	2	3	4	d_open	3559.27123850
1	1	2	3	5	d_clsd	3560.12176655
1	1	2	3	4	d_open	3560.47196963
1	1	2	3	5	d_clsd	3561.32251972
1	1	2	3	4	d_open	3561.67275148
1	1	2	3	5	d_clsd	3562.53330888
1	1	2	3	4	d_open	3563.05359475
1	1	2	3	5	d_clsd	3563.92416823
1	1	2	3	4	d_open	3564.27441811
1	1	2	3	5	d_clsd	3565.12493015
1	1	2	3	4	d_open	3565.63523950
1	1	2	3	5	d_clsd	3566.50580543
1	1	2	3	4	d_open	3566.98609221
1	1	2	3	20	pre_tgt	3567.04613522
1	1	2	3	21	tgt_on	3567.80671934
1	1	3	3	3	t_start	3570.45843012
1	1	3	3	11	all_drs_on	3572.46961142
1	1	3	3	5	d_clsd	3572.47960576
1	1	3	3	4	d_open	3572.98986106
1	1	3	3	5	d_clsd	3573.84040753
1	1	3	3	4	d_open	3574.19063929
1	1	3	3	5	d_clsd	3575.04117488
1	1	3	3	4	d_open	3575.39139306
1	1	3	3	5	d_clsd	3576.24196971
1	1	3	3	4	d_open	3576.61218351
1	1	3	3	5	d_clsd	3577.47270318
1	1	3	3	4	d_open	3577.82296090
1	1	3	3	20	pre_tgt	3577.88313342
1	1	3	3	21	tgt_on	3578.64355694
1	1	4	3	3	t_start	3581.28520033
1	1	4	3	11	all_drs_on	3583.31649136
1	1	4	3	5	d_clsd	3583.32644253
1	1	4	3	4	d_open	3584.02683813
1	1	4	3	5	d_clsd	3584.89741342
1	1	4	3	4	d_open	3585.26761333
1	1	4	3	5	d_clsd	3586.11815436
1	1	4	3	4	d_open	3586.45841684
1	1	4	3	5	d_clsd	3587.31892353
1	1	4	3	4	d_open	3587.65913439
1	1	4	3	5	d_clsd	3588.52968039
1	1	4	3	4	d_open	3588.87990401
1	1	4	3	20	pre_tgt	3588.94009041
1	1	4	3	21	tgt_on	3589.70062231
1	1	5	3	3	t_start	3592.38228833
1	1	5	3	11	all_drs_on	3594.41346978
1	1	5	3	5	d_clsd	3594.42346563
1	1	5	3	4	d_open	3595.25392621
1	1	5	3	20	pre_tgt	3595.31406250
1	1	5	3	21	tgt_on	3596.07460708
1	1	6	1	1	t_start	3651.05926962
1	1	6	1	11	all_drs_on	3653.10050005
1	1	6	1	5	d_clsd	3653.11056050
1	1	6	1	4	d_open	3653.79089376
1	1	6	1	5	d_clsd	3654.64142272
1	1	6	1	4	d_open	3654.99166052
1	1	6	1	5	d_clsd	3655.86217694
1	1	6	1	4	d_open	3656.20239565
1	1	6	1	5	d_clsd	3657.07295403
1	1	6	1	4	d_open	3657.42316587
1	1	6	1	5	d_clsd	3658.27370448
1	1	6	1	4	d_open	3658.79401058
1	1	6	1	5	d_clsd	3659.64456097
1	1	6	1	4	d_open	3660.00481243
1	1	6	1	5	d_clsd	3660.85530515
1	1	6	1	4	d_open	3661.37567012
1	1	6	1	5	d_clsd	3662.22621265
1	1	6	1	4	d_open	3662.57643294
1	1	6	1	5	d_clsd	3663.42696974
1	1	6	1	4	d_open	3663.77722777
1	1	6	1	5	d_clsd	3664.65773310
1	1	6	1	4	d_open	3665.00795701
1	1	6	1	5	d_clsd	3665.85846393
1	1	6	1	4	d_open	3666.20871380
1	1	6	1	5	d_clsd	3667.08929038
1	1	6	1	4	d_open	3667.43948712
1	1	6	1	5	d_clsd	3668.29003811
1	1	6	1	4	d_open	3668.64029523
1	1	6	1	5	d_clsd	3669.49078705
1	1	6	1	4	d_open	3669.84100855
1	1	6	1	5	d_clsd	3670.74158195
1	1	6	1	4	d_open	3671.09183877
1	1	6	1	7	pre_tgt	3671.15194035
1	1	6	1	9	tgt_on	3671.91246470
1	1	7	1	1	t_start	3674.56409488
1	1	7	1	11	all_drs_on	3676.60531081
1	1	7	1	5	d_clsd	3676.61535858
